com.samsung.health.food_info,6156001,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.43997,3.54,10.266,,0.0,MyFitnessPal Breakfast,,100001-Wed Jan 06 00:00:00 GMT+01:00 2021,0,101.18,3.5679998,4.9894,2021-01-08 17:52:36.440,2021-01-08 17:52:36.440,0.03776,6.3862,0.08613999,0.30679998,MyFitnessPal Breakfast,22.431398,,5.8999996,207.51,,,vC702BfhH0,,0.83216,0.0,com.myfitnesspal.android,55.9512,,36754780-7bca-4841-ba1e-2c41f877be5a,,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Wed Jan 06 00:00:00 GMT+01:00 2021,0,1800.0,2.0,56.5,2021-01-08 17:52:36.557,2021-01-08 17:52:36.557,0.0,41.3,0.0,10.0,MyFitnessPal Dinner,7.0,,2.0,1458.5,,,vC702BfhH0,,15.3,0.0,com.myfitnesspal.android,67.0,,ff8c7446-4a93-42e5-aad9-32addaba88d9,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Thu Jan 07 00:00:00 GMT+01:00 2021,0,0.0,0.0,24.0,2021-01-09 13:38:10.220,2021-01-09 13:38:10.220,0.0,32.0,0.0,0.0,MyFitnessPal Lunch,0.0,,0.0,532.0,,,vC702BfhH0,,0.0,0.0,com.myfitnesspal.android,44.0,,dfa770c9-e4d6-444d-a0a3-0d71dc293b73,,
503.19,85.450005,8.445637,,164.12091,MyFitnessPal Lunch,,100002-Mon Jan 04 00:00:00 GMT+01:00 2021,0,6829.49,5.105,36.433136,2021-01-06 20:38:05.711,2021-01-06 20:38:05.711,1.6333885,51.876907,1.03716,1.648074,MyFitnessPal Lunch,8.398318,,72.817635,530.0725,,,vC702BfhH0,,20.991219,0.016719999,com.myfitnesspal.android,63.551918,,79cf7fc4-a865-4eb6-b4da-a15e7798d6e5,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Sun Jan 03 00:00:00 GMT+01:00 2021,0,2050.0,4.0,11.0,2021-01-05 21:13:14.233,2021-01-05 21:13:14.233,0.0,29.3,0.0,0.0,MyFitnessPal Lunch,10.5,,0.0,501.25,,,vC702BfhH0,,3.8,0.0,com.myfitnesspal.android,69.4,,ebd84027-1296-40d9-ad12-de46ef10d109,,
109.0,83.0,4.0,,186.0,MyFitnessPal Breakfast,,100001-Sun Jan 10 00:00:00 GMT+01:00 2021,0,72.0,0.2,5.1050005,2021-01-12 07:40:55.033,2021-01-12 07:40:55.033,1.8379999,7.6300006,0.9785,0.875,MyFitnessPal Breakfast,1.185,,28.0,178.0,,,vC702BfhH0,,1.563,0.019,com.myfitnesspal.android,4.03,,5d1a4852-bb39-411a-8aec-943a1c9b2729,,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Sun Dec 27 00:00:00 GMT+01:00 2020,0,0.0,0.18,18.0,2020-12-29 20:28:39.277,2020-12-29 20:28:39.277,0.0,5.0,0.0,0.0,MyFitnessPal Lunch,13.3,,0.0,230.0,,,vC702BfhH0,,0.45,0.0,com.myfitnesspal.android,20.0,,73e26ded-232e-4d95-86a9-f75c4f1f10c3,,
709.67004,87.23,16.099636,,164.12091,MyFitnessPal Lunch,,100002-Sun Jan 10 00:00:00 GMT+01:00 2021,0,6831.27,10.623,36.68234,2021-01-12 07:40:55.067,2021-01-12 07:40:55.067,1.7829086,52.517708,1.20448,1.968474,MyFitnessPal Lunch,25.753319,,88.83763,843.56146,,,vC702BfhH0,,21.03038,0.016719999,com.myfitnesspal.android,90.661316,,b1e9360d-0382-4808-8807-ee2a950147f6,,
40.0,3.0,4.0,,0.0,MyFitnessPal Breakfast,,100001-Fri Jan 08 00:00:00 GMT+01:00 2021,0,1203.2,3.1,21.95,2021-01-10 19:41:27.422,2021-01-10 19:41:27.422,0.009,18.15,0.023,0.0,MyFitnessPal Breakfast,3.7,,0.0,273.5,,,vC702BfhH0,,6.0,0.0,com.myfitnesspal.android,59.67,,6f41550f-360f-43e4-9d6d-f2d3cf75d3d0,,
146.0,0.0,12.0,,0.0,MyFitnessPal Dinner,,100003-Sun Dec 27 00:00:00 GMT+01:00 2020,1,4.0,1.7,49.6,2021-01-03 12:25:23.417,2020-12-29 20:28:39.362,0.013,54.1,0.017,1.0,MyFitnessPal Dinner,4.2,,2.0,420.0,,,vC702BfhH0,,19.542,0.0,com.myfitnesspal.android,24.0,,fe79ef70-1e1d-46aa-9191-8db0348e0457,1,
0.0,0.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Sat Jan 09 00:00:00 GMT+01:00 2021,0,0.02,1.1,23.1,2021-01-10 19:41:27.630,2021-01-10 19:41:27.630,0.0,27.7,0.0,0.0,MyFitnessPal Lunch,9.5,,0.0,1098.0,,,vC702BfhH0,,4.5,0.0,com.myfitnesspal.android,79.0,,b7f6b559-7f3e-4452-9838-bb86ee28684c,,
