com.samsung.health.sleep_stage,6156001,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2020-11-09 00:00:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.821,2020-11-09 06:03:55.821,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-09 00:02:00.000,c63fcef4-9923-4cc4-b0e1-e5a057930ac6,
2020-11-30 06:05:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.613,2020-11-30 07:42:23.613,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 06:06:00.000,faa34ff9-024f-4340-b471-b3461dec3f79,
2020-11-09 03:00:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.823,2020-11-09 06:03:55.823,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-09 03:01:00.000,f3cae7f7-1971-440f-a7d1-41dd754b86ec,
2020-11-05 02:05:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.739,2020-11-07 08:33:38.739,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 02:06:00.000,dc803f92-80dc-44e0-b14b-9e98a2720bc3,
2020-11-04 00:29:00.000,97ac379d-d9c1-9334-0c09-2c2ff84a302a,,2020-11-07 08:33:38.735,2020-11-07 08:33:38.735,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-04 00:50:00.000,0d068698-32c0-4a7d-ac66-f3463f4bfa71,
2020-11-05 03:04:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.740,2020-11-07 08:33:38.740,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 03:07:00.000,ce7de05d-f4cb-4187-8c9b-118702829c99,
2020-12-01 03:40:00.000,d574ca46-8da6-1641-5df6-abdd78879563,,2020-12-01 07:21:36.666,2020-12-01 07:21:36.666,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 03:53:00.000,50125a2a-f35e-4994-9189-4029b6086fc9,
2020-11-30 23:47:00.000,dd5f7701-16a0-c54b-365e-fa7dbace06ef,,2020-12-01 03:37:20.447,2020-12-01 03:37:20.447,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 23:50:00.000,8798a5d5-3f15-4d13-9824-deccc1d789d7,
2020-11-30 06:23:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.613,2020-11-30 07:42:23.613,40004,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 06:24:00.000,fa267543-7462-4f73-a7ba-355156ded9b1,
2020-12-02 03:55:00.000,2b178c3c-7d86-8da0-75f3-0d35a461c291,,2020-12-02 07:53:34.522,2020-12-02 07:53:34.522,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-02 04:00:00.000,e709fe7f-b6d6-454a-ad31-cdf9cbaebfe6,
2020-11-11 02:07:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.624,2020-11-11 06:14:05.624,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 02:08:00.000,d322b027-c5a2-44a8-9d50-1a4409ab988b,
2020-11-03 22:30:00.000,97ac379d-d9c1-9334-0c09-2c2ff84a302a,,2020-11-07 08:33:38.732,2020-11-07 08:33:38.732,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-03 22:38:00.000,bc40c295-06ab-497c-8911-b90639f32a8a,
2020-11-29 23:48:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.607,2020-11-30 07:42:23.607,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 23:54:00.000,823e101a-2df4-4730-a8e7-e169c373afc5,
2020-11-30 01:20:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.608,2020-11-30 07:42:23.608,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 01:24:00.000,a7f648c5-11cd-4c4c-a0df-a81be78bf142,
2020-11-30 01:28:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.608,2020-11-30 07:42:23.608,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 01:29:00.000,1374071d-f318-45fd-b281-555aad76591f,
2020-11-10 23:47:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.621,2020-11-11 06:14:05.621,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-10 23:48:00.000,4fbe3670-b1e6-45aa-b4a0-523a500aba90,
2020-11-04 02:36:00.000,97ac379d-d9c1-9334-0c09-2c2ff84a302a,,2020-11-07 08:33:38.737,2020-11-07 08:33:38.737,40004,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-04 02:38:00.000,357cad63-067e-4462-90d2-a8bb56a3366b,
2020-12-01 01:47:00.000,dd5f7701-16a0-c54b-365e-fa7dbace06ef,,2020-12-01 03:37:20.448,2020-12-01 03:37:20.448,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 02:35:00.000,13efd4c2-55e4-4734-8ded-918cd58d024b,
2020-12-02 06:46:00.000,2b178c3c-7d86-8da0-75f3-0d35a461c291,,2020-12-02 07:53:34.531,2020-12-02 07:53:34.531,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-02 06:47:00.000,bb4abfe2-561d-4c91-95fc-c1ed915a02aa,
2020-11-11 03:15:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.624,2020-11-11 06:14:05.624,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 04:17:00.000,287f5ff1-e27a-412f-ab48-5b1dc57cbbfa,
2020-11-29 06:33:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.563,2020-11-29 07:57:32.563,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 06:35:00.000,44d1470e-dd3f-46bc-a07f-9ed378fba027,
2020-11-11 00:16:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.622,2020-11-11 06:14:05.622,40003,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 00:23:00.000,f1ffb507-a245-4994-9354-478143132a42,
2020-11-05 03:42:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.741,2020-11-07 08:33:38.741,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 03:43:00.000,059ec847-0d72-498a-86e9-8ef1f22501a7,
2020-11-11 01:27:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.623,2020-11-11 06:14:05.623,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 01:28:00.000,c047eef5-63d3-4b46-98eb-df3e6b870f2c,
2020-12-02 04:42:00.000,2b178c3c-7d86-8da0-75f3-0d35a461c291,,2020-12-02 07:53:34.526,2020-12-02 07:53:34.526,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-02 04:45:00.000,b9344e41-8925-47d3-9828-1973e0275d08,
2020-12-01 02:53:00.000,dd5f7701-16a0-c54b-365e-fa7dbace06ef,,2020-12-01 03:37:20.449,2020-12-01 03:37:20.449,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 02:54:00.000,875b6264-921c-45ce-83fa-7466071ad57f,
2020-11-11 05:34:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.626,2020-11-11 06:14:05.626,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 05:38:00.000,a98b6c8e-d116-4ef6-b5a2-365780092307,
2020-11-11 01:07:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.623,2020-11-11 06:14:05.623,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 01:08:00.000,218925ee-2deb-4cd2-b6f7-078b8ee7d5cd,
2020-11-09 04:23:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.823,2020-11-09 06:03:55.823,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-09 04:25:00.000,cae14e68-e104-4fb4-84e8-192edb452353,
2020-11-11 04:40:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.625,2020-11-11 06:14:05.625,40004,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 05:07:00.000,652961fb-05e8-450d-91e8-82f50a386d11,
2020-11-09 03:13:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.823,2020-11-09 06:03:55.823,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-09 03:14:00.000,99515dd0-f119-4f8b-a37f-7be0405675fe,
2020-12-02 04:15:00.000,2b178c3c-7d86-8da0-75f3-0d35a461c291,,2020-12-02 07:53:34.525,2020-12-02 07:53:34.525,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-02 04:18:00.000,fe4e1317-0ed0-4ba4-99e8-80412d48df19,
2020-12-01 00:26:00.000,dd5f7701-16a0-c54b-365e-fa7dbace06ef,,2020-12-01 03:37:20.448,2020-12-01 03:37:20.448,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 00:27:00.000,136eed16-bae8-4e56-8074-7a3932e781e6,
2020-12-01 04:35:00.000,d574ca46-8da6-1641-5df6-abdd78879563,,2020-12-01 07:21:36.666,2020-12-01 07:21:36.666,40004,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 04:37:00.000,54a44e9d-b80f-4776-8304-dfd3f2ec5dd1,
2020-11-29 03:47:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.560,2020-11-29 07:57:32.560,40004,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 03:53:00.000,97e8346c-f9c9-4771-a42f-e9c060ec7762,
2020-11-29 06:31:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.562,2020-11-29 07:57:32.562,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 06:32:00.000,f3b71e8d-8550-4e7e-9ac8-6f41480f2f03,
2020-11-11 01:15:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.623,2020-11-11 06:14:05.623,40004,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 01:17:00.000,d8f64fe5-87c9-4201-a846-1fbf3173b0ff,
2020-11-30 06:25:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.613,2020-11-30 07:42:23.613,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 06:26:00.000,c069f4bf-bdf2-4174-885d-44f4d3ed3780,
2020-11-05 03:31:00.000,efb65fea-c584-7790-3573-fb4d256fef2a,,2020-11-07 08:33:38.741,2020-11-07 08:33:38.741,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-05 03:42:00.000,31c8debc-9dcf-4425-979e-2d49286fbbe8,
2020-12-01 04:48:00.000,d574ca46-8da6-1641-5df6-abdd78879563,,2020-12-01 07:21:36.667,2020-12-01 07:21:36.667,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 04:49:00.000,112acd06-9588-4406-944e-2c6c8293df60,
2020-11-11 05:11:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.626,2020-11-11 06:14:05.626,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 05:12:00.000,39b618a3-238f-4547-8298-c86ccaec715e,
2020-11-03 23:45:00.000,97ac379d-d9c1-9334-0c09-2c2ff84a302a,,2020-11-07 08:33:38.734,2020-11-07 08:33:38.734,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-03 23:46:00.000,c4ee3f63-7c59-4454-9af7-0c94694c88e3,
2020-11-03 22:50:00.000,97ac379d-d9c1-9334-0c09-2c2ff84a302a,,2020-11-07 08:33:38.733,2020-11-07 08:33:38.733,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-03 22:52:00.000,57a0e78d-baf1-4e37-9f3f-46803b7f7eb8,
2020-12-01 00:27:00.000,dd5f7701-16a0-c54b-365e-fa7dbace06ef,,2020-12-01 03:37:20.448,2020-12-01 03:37:20.448,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 00:49:00.000,bc4174c1-bda1-4b12-9920-b4b68328858f,
2020-11-30 23:06:00.000,dd5f7701-16a0-c54b-365e-fa7dbace06ef,,2020-12-01 03:37:20.446,2020-12-01 03:37:20.446,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 23:09:00.000,352daf26-e374-4e4c-a21e-2c39e34eb0a6,
2020-11-29 02:27:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.559,2020-11-29 07:57:32.559,40004,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 02:36:00.000,0f77f096-53d0-4d9d-8d1e-e2668a2d9d77,
2020-12-01 04:37:00.000,d574ca46-8da6-1641-5df6-abdd78879563,,2020-12-01 07:21:36.666,2020-12-01 07:21:36.666,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 04:39:00.000,99aad5b1-ba12-4668-85ec-0e1cee2ec1b6,
2020-11-30 04:43:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.611,2020-11-30 07:42:23.611,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 04:44:00.000,933f1811-2cb0-4437-baa2-ee66b35b9b23,
2020-11-30 04:50:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.611,2020-11-30 07:42:23.611,40001,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 04:51:00.000,23d5e4eb-433b-470a-be3e-eb98146960b3,
2020-11-04 00:51:00.000,97ac379d-d9c1-9334-0c09-2c2ff84a302a,,2020-11-07 08:33:38.735,2020-11-07 08:33:38.735,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-04 01:15:00.000,0a961387-15e9-4568-9614-c176ebf33e7d,
2020-11-03 22:14:00.000,97ac379d-d9c1-9334-0c09-2c2ff84a302a,,2020-11-07 08:33:38.732,2020-11-07 08:33:38.732,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-03 22:17:00.000,bb4b68a3-5b2c-4dc8-b520-959029267674,
2020-11-09 04:25:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.823,2020-11-09 06:03:55.823,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-09 04:26:00.000,7de9075a-7e16-4ae1-8109-5e4e5fff7d53,
2020-12-01 02:36:00.000,dd5f7701-16a0-c54b-365e-fa7dbace06ef,,2020-12-01 03:37:20.448,2020-12-01 03:37:20.448,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-12-01 02:53:00.000,8009d071-889b-48d7-8648-52ab9a31180e,
2020-11-11 01:11:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.623,2020-11-11 06:14:05.623,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 01:13:00.000,4c767aa9-2a0f-4cc3-9312-ea2ec77e2815,
2020-11-08 23:14:00.000,f3daa171-0331-3f18-3ac9-dc758909c0b1,,2020-11-09 06:03:55.820,2020-11-09 06:03:55.820,40002,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-08 23:34:00.000,4470c649-0022-427c-8659-4cd0ecc6f136,
2020-11-30 01:37:00.000,aa979088-cce7-0a89-edf7-192cd0eaeb7d,,2020-11-30 07:42:23.608,2020-11-30 07:42:23.608,40004,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-30 01:43:00.000,148f8647-deda-4b8a-9a1a-df24c6815198,
2020-11-29 05:40:00.000,4234790b-0049-6dd3-cc37-87538bb0d930,,2020-11-29 07:57:32.562,2020-11-29 07:57:32.562,40002,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2020-11-29 05:57:00.000,e312fb13-b194-4195-8ded-7a945240f109,
2020-11-11 01:17:00.000,55b27f10-0151-dcac-d024-aee3284574cd,,2020-11-11 06:14:05.623,2020-11-11 06:14:05.623,40001,UTC+0300,vC702BfhH0,com.sec.android.app.shealth,2020-11-11 01:18:00.000,d81cd136-0455-42b3-9613-b4adc7650253,
