com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
2270,4,0,4,2021-02-26 07:31:00.000,230002,,2021-02-26 07:31:57.495,2021-02-26 07:31:57.495,4,1.3611112,3.09,0.14,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:31:59.999,c242838e-d578-192c-fbf3-028369a750f6,
42812,4,0,88,2021-02-26 08:41:00.000,,,2021-02-26 08:43:41.496,2021-02-26 08:43:41.496,88,1.6018176,68.578125,3.2148438,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 08:42:00.000,7e982029-2baa-4e64-b1b7-220c6282f350,
58933,4,157,0,2021-02-25 12:04:00.000,,,2021-02-25 12:10:45.468,2021-02-25 12:10:45.468,157,2.9808662,175.67383,12.914185,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 12:05:00.000,76067560-df51-4fd9-9021-f6092eaf292d,
57911,4,0,110,2021-02-25 12:00:00.000,,,2021-02-25 12:03:28.753,2021-02-25 12:00:05.863,110,1.4811425,85.77539,3.9976807,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 12:01:00.000,e1ec493b-cca4-4b82-896c-218130ce197c,
57290,4,149,6,2021-02-25 12:19:00.000,230002,,2021-02-25 12:20:11.364,2021-02-25 12:19:05.269,155,2.5298579,144.936,10.93,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:19:59.999,fc7ffe11-5feb-a9ec-d1c0-5eac81300d17,
52574,4,0,104,2021-02-25 11:38:00.000,230002,,2021-02-25 11:39:56.437,2021-02-25 11:39:56.437,104,1.4166666,74.48,4.09,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:38:59.999,05509898-9abe-975a-2db4-222c6c5a40d4,
59145,4,0,109,2021-02-25 11:41:00.000,230002,,2021-02-25 11:43:34.569,2021-02-25 11:43:34.568,109,1.4166666,83.79,4.21,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:41:59.999,a883b50d-4882-af50-fda2-fc309b1dec03,
8549,4,0,11,2021-02-26 08:22:00.000,230002,,2021-02-26 08:22:41.766,2021-02-26 08:22:41.765,11,0.8888889,7.6,0.42,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 08:22:59.999,fc3af595-b8ee-3bdb-d86f-61675b39bf88,
52379,4,0,108,2021-02-25 12:41:00.000,,,2021-02-25 12:45:03.232,2021-02-25 12:45:03.232,108,1.6249238,85.11328,3.9052734,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 12:42:00.000,f81a9a71-3267-4b6f-9efa-555316c7ab61,
46825,4,55,11,2021-02-25 12:31:00.000,,,2021-02-25 12:31:36.002,2021-02-25 12:31:36.002,66,1.464875,68.59375,4.7851562,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 12:32:00.000,e9eff235-bb5a-4bcf-8987-d7f7293afacb,
