com.samsung.shealth.sleep,6156001,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,75.0,33,36,11,10,47,472,158,0,17,0,0,,,32.0,,10.0,,,e099cdaf-5613-754e-ddba-1d98acefbe78.extra_data.json,4,90.0,73,472,2021-01-11 23:11:00.000,,2021-01-12 07:20:30.729,2021-01-12 07:08:10.346,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-12 07:03:00.000,e099cdaf-5613-754e-ddba-1d98acefbe78,
,95.0,3,3,18,2,79,447,225,0,55,0,0,,,4.0,,18.0,,,21681481-f6d5-7aa9-f723-1e1ebfb6b7da.extra_data.json,3,82.0,61,447,2021-01-01 01:02:00.000,,2021-01-01 08:33:31.478,2021-01-01 08:33:29.363,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-01 08:29:00.000,21681481-f6d5-7aa9-f723-1e1ebfb6b7da,
,98.0,8,8,6,1,70,508,113,0,48,0,0,,,8.0,,14.0,,,ccd41e7b-01e7-d427-432b-b44dde54d249.extra_data.json,3,86.0,70,508,2020-12-29 00:40:00.000,,2020-12-29 09:19:26.454,2020-12-29 09:13:27.458,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-29 09:08:00.000,ccd41e7b-01e7-d427-432b-b44dde54d249,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-21 23:29:28.711,,2021-02-28 19:08:25.381,2021-02-28 19:08:25.381,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-22 07:01:16.713,93517948-6848-42c4-8248-77a2066870cc,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-15 23:17:11.011,,2021-02-28 19:08:25.744,2021-02-28 19:08:25.744,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-16 06:00:23.009,78f0cfcc-5acf-431e-83cc-b1618db0efc3,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-09 23:19:53.796,,2021-02-28 19:08:26.075,2021-02-28 19:08:26.075,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-10 07:50:29.796,d58856ab-144a-47d1-881d-96aa806cac57,
,76.0,26,26,9,9,67,531,130,1,45,0,0,,1,66.0,,28.0,,,f0a8b2d8-875c-e510-d170-7f00ac4b2d00.extra_data.json,5,87.0,56,531,2021-03-09 22:41:00.000,,2021-03-10 07:37:10.335,2021-03-10 07:37:04.399,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-10 07:32:00.000,f0a8b2d8-875c-e510-d170-7f00ac4b2d00,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-03 23:21:14.265,,2021-02-28 19:08:26.364,2021-02-28 19:08:26.364,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-04 06:58:26.263,3b17b9ab-5c1b-4399-8f89-942042af4325,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-28 23:28:25.222,,2021-02-28 19:08:26.778,2021-02-28 19:08:26.778,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-29 08:00:13.222,87b354c1-6e9f-4f16-a4db-12f5a3eb758c,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-22 23:13:29.532,,2021-02-28 19:08:27.201,2021-02-28 19:08:27.201,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-23 07:43:29.532,f35a5bec-4283-4980-9b9f-e58bf56247af,
,54.0,2,24,4,16,81,521,62,2,49,0,0,,1,58.0,,31.0,,,65781ade-650f-d793-554d-f8d6f4e58fa4.extra_data.json,4,84.0,51,521,2021-02-21 00:10:00.000,,2021-02-21 08:56:30.406,2021-02-21 08:56:27.440,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-21 08:51:00.000,65781ade-650f-d793-554d-f8d6f4e58fa4,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-16 23:21:55.764,,2021-02-28 19:08:27.584,2021-02-28 19:08:27.584,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-17 08:03:19.762,03dda45d-2384-4b50-87b3-4678b747ebf8,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-10 22:26:30.775,,2021-02-28 19:08:27.930,2021-02-28 19:08:27.930,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-11 05:40:54.775,4b4e93e5-3a4a-4ba2-9615-bfba968f9a6c,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-04 23:05:04.165,,2021-02-28 19:08:28.296,2021-02-28 19:08:28.296,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-01-05 06:58:28.165,063c3b14-9b63-4f3f-80ca-d76440161275,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-29 23:13:16.786,,2021-02-28 19:08:28.655,2021-02-28 19:08:28.655,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-30 08:11:28.786,7e5cd3fb-3a8f-423d-8760-1827515fa4f2,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-23 22:54:50.228,,2021-02-28 19:08:28.915,2021-02-28 19:08:28.915,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-24 06:51:14.228,4a09ea12-6294-4589-a770-d9a702c89f3c,
,79.0,19,19,8,1,30,396,170,0,9,0,0,,1,49.0,,15.0,,,d5d4ccae-73dd-677e-f811-fc5b99d8c335.extra_data.json,2,92.0,63,396,2021-03-13 23:03:00.000,,2021-03-14 05:44:21.983,2021-03-14 05:44:16.418,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-14 05:39:00.000,d5d4ccae-73dd-677e-f811-fc5b99d8c335,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-17 23:14:07.897,,2021-02-28 19:08:29.261,2021-02-28 19:08:29.261,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-18 08:16:31.899,b56ae133-8985-4edf-9186-192045ca88e1,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-11 23:23:18.813,,2021-02-28 19:08:29.657,2021-02-28 19:08:29.657,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-12 08:10:06.813,b776e94a-b070-4327-98b4-fee4880708e9,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-05 23:28:12.158,,2021-02-28 19:08:29.969,2021-02-28 19:08:29.969,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2020-12-06 08:41:24.158,3b9ae4fc-65c5-4bf3-9113-9a87b751a6ea,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-26 23:18:53.584,,2021-02-28 19:08:31.204,2021-02-28 19:08:31.204,UTC+0200,OD8XXfRrR9,,com.urbandroid.sleep,2021-02-27 07:12:17.584,57af2117-18b8-4ee9-86ad-ba6e961236a6,
,68.0,8,8,12,13,79,506,104,0,43,0,0,,,8.0,,16.0,,,f4aa9f7e-0bcb-d693-15ab-15120570e30c.extra_data.json,6,84.0,64,506,2020-12-26 00:48:00.000,,2020-12-26 09:24:29.265,2020-12-26 09:20:12.443,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-26 09:14:00.000,f4aa9f7e-0bcb-d693-15ab-15120570e30c,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-01 21:59:16.013,,2021-03-04 06:55:22.770,2021-03-04 06:55:22.770,UTC+0300,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-02 06:26:36.472,8af87752-0b09-4b04-9672-50874ff210d8,
,0.0,10,23,4,44,65,522,102,4,40,0,0,,,16.0,,13.0,,,b076ce8e-ef3d-e7ad-1666-bb3aa534c48d.extra_data.json,5,87.0,54,522,2021-01-20 23:14:00.000,,2021-01-21 08:07:59.104,2021-01-21 08:02:03.343,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-21 07:56:00.000,b076ce8e-ef3d-e7ad-1666-bb3aa534c48d,
,65.0,15,40,8,20,69,506,81,2,41,0,0,,1,66.0,,32.0,,,8ea9ba8e-1dc0-26a2-2a62-8c38c851f7ea.extra_data.json,7,86.0,53,506,2021-03-16 22:00:00.000,,2021-03-17 06:36:31.617,2021-03-17 06:34:32.402,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-17 06:26:00.000,8ea9ba8e-1dc0-26a2-2a62-8c38c851f7ea,
,98.0,16,16,2,1,26,217,97,0,19,0,0,,,28.0,,12.0,,,d574ca46-8da6-1641-5df6-abdd78879563.extra_data.json,1,88.0,64,217,2020-12-01 03:40:00.000,,2020-12-01 07:21:36.681,2020-12-01 07:21:34.319,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-01 07:17:00.000,d574ca46-8da6-1641-5df6-abdd78879563,
,77.0,2,2,2,3,59,446,67,1,42,7,0,,1,46.0,,26.0,,,e7339098-7b03-1dfd-8fec-3f5c56bf37cc.extra_data.json,4,85.0,64,453,2021-03-18 22:35:00.000,,2021-03-19 06:27:12.673,2021-03-19 06:26:55.371,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-19 06:08:00.000,e7339098-7b03-1dfd-8fec-3f5c56bf37cc,
,82.0,0,0,5,3,25,308,50,0,8,0,0,9a9d8584-b977-4911-80f6-f39a7b70e949,1,31.0,,21.0,,,9f9ed533-40f3-0eb1-ed84-316be52a856f.extra_data.json,3,91.0,48,308,2021-03-06 23:20:00.000,,2021-03-07 07:32:14.483,2021-03-07 04:33:15.538,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-07 04:28:00.000,9f9ed533-40f3-0eb1-ed84-316be52a856f,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-06 22:41:19.370,,2021-03-08 06:33:11.819,2021-03-08 06:33:11.819,UTC+0300,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-07 07:22:57.794,560ff7ef-7601-42d5-8f92-212661dc46c7,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-08 22:12:29.249,,2021-03-10 22:10:08.418,2021-03-10 22:10:08.418,UTC+0300,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-09 06:40:23.137,2f55be96-e1c0-4b75-b12c-741ec0d1f464,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-11 22:24:12.023,,2021-03-14 06:03:42.248,2021-03-14 06:03:42.248,UTC+0300,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-12 06:18:24.200,a7561e60-7798-4fc3-a01f-5945edc576a5,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-16 19:50:12.666,,2021-03-18 06:23:42.061,2021-03-18 06:23:42.061,UTC+0300,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-17 06:47:32.643,8f97546d-3420-4935-afed-3b8a7f0dd5c5,
,75.0,0,13,6,10,26,251,32,1,12,0,0,,,20.0,,11.0,,,9a579652-0117-eb56-af19-9185192be575.extra_data.json,3,89.0,49,251,2021-01-18 23:09:00.000,,2021-01-19 03:23:16.861,2021-01-19 03:23:13.435,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-19 03:20:00.000,9a579652-0117-eb56-af19-9185192be575,
,33.0,4,13,5,27,67,579,55,4,41,0,0,,,8.0,,12.0,,,705acac3-9ce0-8b27-709b-ad04b0f03e72.extra_data.json,6,88.0,46,579,2021-01-12 22:58:00.000,,2021-01-13 08:49:45.205,2021-01-13 08:42:54.310,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-13 08:37:00.000,705acac3-9ce0-8b27-709b-ad04b0f03e72,
,73.0,0,0,19,2,39,206,157,0,23,6,0,2819ce71-0bab-412b-b80c-7ecf1b6ef2bb,1,21.0,,42.0,,,c773b21d-d044-7e89-c87f-70d077862e66.extra_data.json,1,78.0,38,212,2021-03-23 02:38:00.000,,2021-03-23 06:29:21.762,2021-03-23 06:29:16.321,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-23 06:10:00.000,c773b21d-d044-7e89-c87f-70d077862e66,
,38.0,6,8,17,37,82,526,171,2,47,0,0,,1,56.0,,34.0,,,e44c9d52-a24f-ab52-b41d-567d0ea049e1.extra_data.json,5,84.0,48,526,2021-03-19 22:12:00.000,,2021-03-20 07:02:29.045,2021-03-20 07:02:22.762,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-20 06:58:00.000,e44c9d52-a24f-ab52-b41d-567d0ea049e1,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-25 21:36:55.609,,2021-03-26 06:54:00.359,2021-03-26 06:54:00.359,UTC+0300,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-26 06:53:08.951,485ed442-11eb-4985-8fc1-43360bc3d0ea,
,70.0,20,32,6,12,101,520,115,0,74,4,0,,,24.0,,20.0,,,fababd98-ce39-b72c-c110-49330adc7633.extra_data.json,4,80.0,70,524,2021-01-17 00:12:00.000,,2021-01-17 09:12:09.939,2021-01-17 09:12:07.328,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-17 08:56:00.000,fababd98-ce39-b72c-c110-49330adc7633,
,38.0,0,0,11,25,36,110,85,1,33,0,0,,,0.0,,33.0,,,df176489-a876-2146-8998-191dfce54121.extra_data.json,1,67.0,28,110,2021-01-02 15:10:00.000,,2021-01-02 17:19:16.686,2021-01-02 17:19:14.369,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-02 17:00:00.000,df176489-a876-2146-8998-191dfce54121,
,73.0,50,50,17,17,56,491,156,1,23,0,0,,1,72.0,,27.0,,,c8165d9e-a71a-e5d8-142c-876b212feef4.extra_data.json,6,88.0,71,491,2021-03-23 23:00:00.000,,2021-03-24 07:11:54.911,2021-03-24 07:11:50.128,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-24 07:11:00.000,c8165d9e-a71a-e5d8-142c-876b212feef4,
,100.0,0,34,0,0,0,65,0,0,0,0,0,,,100.0,,0.0,,,ea883105-937d-dfd2-27e4-9cbc25169ac4.extra_data.json,0,100.0,54,65,2020-11-13 10:20:00.000,,2020-11-13 11:25:28.993,2020-11-13 11:25:27.278,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-11-13 11:25:00.000,ea883105-937d-dfd2-27e4-9cbc25169ac4,
,79.0,24,24,14,1,21,228,173,0,10,0,0,90d2e3b1-7976-4c7f-b59b-df9ba5582d5f,1,39.0,,22.0,,,81b96a05-4556-251a-c3ba-44574932385f.extra_data.json,2,90.0,64,228,2021-03-28 21:40:00.000,,2021-03-29 06:45:32.951,2021-03-29 01:28:37.275,UTC+0400,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-29 01:28:00.000,81b96a05-4556-251a-c3ba-44574932385f,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 21:33:05.261,,2021-03-30 06:23:24.668,2021-03-30 06:23:24.668,UTC+0400,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-29 06:05:19.735,18693aca-d709-4c4f-95c0-3348d45b84c5,
,70.0,0,0,0,0,13,119,0,0,9,0,0,,1,12.0,,18.0,,,79acb868-7d27-a6f3-7795-da8f3831a274.extra_data.json,0,89.0,31,119,2021-02-07 23:52:00.000,,2021-02-08 01:55:37.350,2021-02-08 01:55:35.416,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-08 01:51:00.000,79acb868-7d27-a6f3-7795-da8f3831a274,
,73.0,22,22,10,11,57,484,119,2,33,2,0,,,20.0,,13.0,,,8dbea4c7-d325-6d5b-e7fb-b2b18345800e.extra_data.json,4,87.0,58,486,2020-12-12 00:12:00.000,,2020-12-12 08:36:55.829,2020-12-12 08:36:53.315,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-12 08:18:00.000,8dbea4c7-d325-6d5b-e7fb-b2b18345800e,
,83.0,0,0,6,7,30,302,88,1,11,0,0,,,0.0,,10.0,,,409653aa-3b48-2bb3-6d34-ce9cb9141451.extra_data.json,3,90.0,45,302,2020-12-09 23:27:00.000,,2020-12-10 04:32:59.883,2020-12-10 04:32:58.306,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-10 04:29:00.000,409653aa-3b48-2bb3-6d34-ce9cb9141451,
,51.0,22,22,6,19,63,527,75,3,33,0,0,,1,69.0,,26.0,,,853a49d6-64f0-723f-daf1-fc89c094900f.extra_data.json,6,88.0,54,527,2021-03-25 21:57:00.000,,2021-03-26 07:03:10.852,2021-03-26 07:01:56.351,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-03-26 06:44:00.000,853a49d6-64f0-723f-daf1-fc89c094900f,
,73.0,12,12,12,11,23,131,120,1,19,0,0,,,36.0,,18.0,,,6cdd4711-1233-feeb-52a9-6dca92b8015b.extra_data.json,1,82.0,55,131,2020-11-04 03:38:00.000,,2020-11-07 08:33:38.787,2020-11-04 05:54:38.378,UTC+0300,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-11-04 05:49:00.000,6cdd4711-1233-feeb-52a9-6dca92b8015b,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-27 22:43:13.579,,2021-03-29 06:05:20.381,2021-03-29 06:05:20.381,UTC+0300,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-28 05:54:24.906,bf5c92ad-aebb-44fd-9f64-49f09cface45,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-29 23:33:13.416,,2021-03-30 06:23:25.298,2021-03-30 06:23:25.298,UTC+0400,OD8XXfRrR9,,com.urbandroid.sleep,2021-03-30 06:23:12.281,204a80e2-c2ee-42ab-b5fc-6272d5aad96a,
,80.0,0,0,11,8,20,191,128,1,9,0,0,,,0.0,,11.0,,,bb66213f-6abb-f061-5f50-6a40cfde224d.extra_data.json,2,89.0,33,191,2021-01-02 23:12:00.000,,2021-01-03 02:26:48.048,2021-01-03 02:26:46.605,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-03 02:23:00.000,bb66213f-6abb-f061-5f50-6a40cfde224d,
,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-09 22:47:50.809,,2021-01-24 07:40:08.136,2021-01-24 07:40:08.136,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2021-01-10 08:16:01.701,b5fb8883-d185-4ab6-a79d-1007ba796292,
,75.0,0,0,7,5,23,237,57,1,16,0,0,,1,24.0,,29.0,,,36394b05-0b44-97b9-457b-168029c7fa17.extra_data.json,4,90.0,42,237,2021-02-09 23:55:00.000,,2021-02-10 03:56:49.943,2021-02-10 03:56:46.334,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-10 03:52:00.000,36394b05-0b44-97b9-457b-168029c7fa17,
,55.0,11,11,5,18,23,165,148,1,20,1,0,,,28.0,,14.0,,,290a5635-de1d-8139-ee3f-ed2eb37ff056.extra_data.json,1,86.0,46,166,2021-01-30 02:51:00.000,,2021-01-30 05:54:21.406,2021-01-30 05:54:19.579,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-30 05:37:00.000,290a5635-de1d-8139-ee3f-ed2eb37ff056,
,62.0,30,30,14,13,43,459,193,2,20,0,0,,1,59.0,,21.0,,,e7cb24d0-0cd8-d671-b8eb-55d1abb9b453.extra_data.json,5,90.0,67,459,2021-01-31 00:22:00.000,,2021-01-31 08:06:03.854,2021-01-31 08:06:02.336,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-31 08:01:00.000,e7cb24d0-0cd8-d671-b8eb-55d1abb9b453,
,55.0,59,59,6,18,65,412,213,1,47,0,0,,,56.0,,16.0,,,678a6069-dcdb-680f-91d7-3e4d8a270900.extra_data.json,3,84.0,69,412,2020-12-25 02:16:00.000,,2020-12-25 09:20:52.094,2020-12-25 09:20:49.284,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-25 09:08:00.000,678a6069-dcdb-680f-91d7-3e4d8a270900,
,81.0,24,24,18,4,44,442,207,0,16,0,0,,1,54.0,,22.0,,,5e76bfe7-3cfb-ee57-00b2-46c47e58722f.extra_data.json,3,90.0,73,442,2021-02-13 00:59:00.000,,2021-02-13 08:26:42.566,2021-02-13 08:26:39.355,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-13 08:21:00.000,5e76bfe7-3cfb-ee57-00b2-46c47e58722f,
,55.0,36,36,16,18,58,447,253,2,32,0,0,,,32.0,,13.0,,,49459649-228a-8b61-dc8a-c3967bfaf593.extra_data.json,3,87.0,58,447,2021-01-05 23:48:00.000,,2021-01-06 07:19:51.898,2021-01-06 07:19:48.350,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-06 07:15:00.000,49459649-228a-8b61-dc8a-c3967bfaf593,
,88.0,3,3,17,5,32,336,100,0,16,0,0,,,4.0,,10.0,,,a8a6b722-6913-c672-2010-45cb6d3f0385.extra_data.json,4,90.0,64,336,2021-01-05 00:36:00.000,,2021-01-05 06:15:56.830,2021-01-05 06:15:54.353,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-05 06:12:00.000,a8a6b722-6913-c672-2010-45cb6d3f0385,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-26 00:39:10.033,,2021-01-09 07:44:08.587,2021-01-09 07:44:08.587,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2020-12-26 08:47:41.027,c229fe2f-5fbe-4ee1-b4c2-783355edd8d5,
,38.0,1,5,7,25,45,445,99,2,18,0,0,,,4.0,,11.0,,,7a0c5464-5912-40d4-e2ec-59c56ecd7cea.extra_data.json,5,89.0,54,445,2021-01-27 23:41:00.000,,2021-01-28 07:11:39.685,2021-01-28 07:11:37.281,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-28 07:06:00.000,7a0c5464-5912-40d4-e2ec-59c56ecd7cea,
,88.0,0,0,2,5,20,133,59,1,12,0,0,,,0.0,,16.0,,,d97be3ca-96ca-92b2-bf8e-8b84cea5ca6e.extra_data.json,1,84.0,36,133,2021-01-29 23:59:00.000,,2021-01-30 02:22:09.588,2021-01-30 02:22:07.697,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-30 02:12:00.000,d97be3ca-96ca-92b2-bf8e-8b84cea5ca6e,
,73.0,0,0,3,2,9,104,60,0,3,0,0,,1,10.0,,17.0,,,7e70146c-7bbd-69c6-8b1c-e79bd8686baa.extra_data.json,1,91.0,48,104,2021-02-24 23:42:00.000,,2021-02-25 01:31:38.005,2021-02-25 01:31:35.393,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-25 01:26:00.000,7e70146c-7bbd-69c6-8b1c-e79bd8686baa,
,78.0,21,63,8,9,54,471,85,1,33,0,0,,,52.0,,12.0,,,1b03942f-36cf-b9f8-4a48-675e30797c1b.extra_data.json,4,88.0,68,471,2020-12-08 23:19:00.000,,2020-12-09 07:13:26.634,2020-12-09 07:13:23.299,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-09 07:10:00.000,1b03942f-36cf-b9f8-4a48-675e30797c1b,
,86.0,5,5,9,9,47,441,124,0,18,0,0,,1,47.0,,22.0,,,b7df2278-29ce-25f6-a2d7-089fd2bb800c.extra_data.json,5,89.0,62,441,2021-02-17 23:54:00.000,,2021-02-18 07:21:51.580,2021-02-18 07:19:03.344,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-18 07:15:00.000,b7df2278-29ce-25f6-a2d7-089fd2bb800c,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-21 23:01:20.374,,2020-12-25 08:32:50.970,2020-12-25 08:32:50.970,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2020-12-22 07:11:48.873,b69b02f2-0bad-4e9d-a733-3e25c6219e12,
,98.0,0,0,12,1,19,229,110,0,9,0,0,,,0.0,,9.0,,,c5175f7c-d860-7e3f-4d11-dfab7407606f.extra_data.json,2,91.0,47,229,2020-12-23 23:30:00.000,,2020-12-24 03:23:06.213,2020-12-24 03:23:03.300,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-24 03:19:00.000,c5175f7c-d860-7e3f-4d11-dfab7407606f,
,90.0,0,0,14,4,43,457,164,0,18,0,0,,,0.0,,10.0,,,6df5edd6-ebfe-a128-fea1-9d31ca63c0f5.extra_data.json,2,90.0,48,457,2020-12-16 23:22:00.000,,2020-12-17 07:04:13.658,2020-12-17 07:04:11.595,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-17 06:59:00.000,6df5edd6-ebfe-a128-fea1-9d31ca63c0f5,
,88.0,0,0,13,5,27,333,102,0,10,0,0,,,0.0,,9.0,,,d273b1b3-07cd-78a6-1f43-6de3bb46715c.extra_data.json,4,91.0,52,333,2020-12-13 00:24:00.000,,2020-12-13 05:59:46.836,2020-12-13 05:59:44.151,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2020-12-13 05:57:00.000,d273b1b3-07cd-78a6-1f43-6de3bb46715c,
,52.0,18,18,6,19,59,472,127,1,32,0,0,,,16.0,,13.0,,,6c9c6331-692a-cd97-963d-67b5b2497dbd.extra_data.json,4,87.0,52,472,2021-01-29 00:06:00.000,,2021-01-29 08:13:00.398,2021-01-29 08:12:57.327,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-29 07:58:00.000,6c9c6331-692a-cd97-963d-67b5b2497dbd,
,45.0,21,21,4,30,48,415,117,1,30,0,0,,1,54.0,,22.0,,,441dc916-a6f9-d4d5-2433-2d3260a34af5.extra_data.json,3,88.0,62,415,2021-02-12 01:59:00.000,,2021-02-12 09:03:05.402,2021-02-12 09:03:03.397,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-02-12 08:54:00.000,441dc916-a6f9-d4d5-2433-2d3260a34af5,
,40.0,45,45,9,24,81,526,219,3,53,0,0,,,36.0,,16.0,,,1e4ce743-1352-48c4-f3e6-240073bb7a7d.extra_data.json,6,84.0,58,526,2021-01-09 23:43:00.000,,2021-01-10 08:42:11.944,2021-01-10 08:42:07.310,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-10 08:29:00.000,1e4ce743-1352-48c4-f3e6-240073bb7a7d,
,85.0,29,29,11,6,32,416,152,0,16,0,0,,,28.0,,8.0,,,a7dcda60-cf7c-c065-1adb-8045bc4d9530.extra_data.json,3,92.0,68,416,2021-01-15 22:45:00.000,,2021-01-16 05:48:09.025,2021-01-16 05:48:06.300,UTC+0200,RHeBeWmk3Z,,com.sec.android.app.shealth,2021-01-16 05:41:00.000,a7dcda60-cf7c-c065-1adb-8045bc4d9530,
,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-17 23:14:07.897,,2020-12-31 23:29:27.542,2020-12-31 23:29:27.542,UTC+0200,vC702BfhH0,,com.urbandroid.sleep,2020-12-18 08:16:49.290,ade3acdd-9f86-4697-8c1e-ea450c72bf25,
