com.samsung.shealth.exercise,6156001,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
aa0132b7-e263-7d2a-902d-512a4688fc4e.live_data_internal.json,0,,346.78113,0,,,aa0132b7-e263-7d2a-902d-512a4688fc4e.sensing_status.json,1,0,,,1,1684,0.0,,,aa0132b7-e263-7d2a-902d-512a4688fc4e.location_data_internal.json,aa0132b7-e263-7d2a-902d-512a4688fc4e.additional_internal.json,1730480,,,aa0132b7-e263-7d2a-902d-512a4688fc4e.com.samsung.health.exercise.location_data.json,2021-01-09 12:13:49.640,1002,,453.17676,0.0,161.0,30001,,370.71503,178.0,2021-01-09 12:43:26.065,2021-01-09 12:43:01.334,,2.843,155.57533,143.0,4487,4509.852,,346.409,167.444,695.374,47.601,UTC+0200,RHeBeWmk3Z,,,aa0132b7-e263-7d2a-902d-512a4688fc4e.com.samsung.health.exercise.live_data.json,,2.6061277,com.sec.android.app.shealth,,,,2021-01-09 12:42:59.010,aa0132b7-e263-7d2a-902d-512a4688fc4e,
,0,,109.0,0,,,,4,0,,,0,,0.0,,,,,1867100,,,,2020-11-22 10:03:39.369,1001,,,,,30001,,,,2020-11-22 10:35:46.344,2020-11-22 10:35:46.344,,1.6388888,,,2322,1617.472,,109.0,,,,UTC+0300,RHeBeWmk3Z,,,c44c4c0e-c8c6-6a74-366d-247c6433411b.com.samsung.health.exercise.live_data.json,,1.2216595,com.sec.android.app.shealth,,,,2020-11-22 10:34:46.469,c44c4c0e-c8c6-6a74-366d-247c6433411b,
f7fa8162-72a7-23f3-cbe5-db60e2b8f743.live_data_internal.json,0,,404.05698,0,,,f7fa8162-72a7-23f3-cbe5-db60e2b8f743.sensing_status.json,1,0,,,1,690,0.0,,,f7fa8162-72a7-23f3-cbe5-db60e2b8f743.location_data_internal.json,f7fa8162-72a7-23f3-cbe5-db60e2b8f743.additional_internal.json,2031829,,,f7fa8162-72a7-23f3-cbe5-db60e2b8f743.com.samsung.health.exercise.location_data.json,2020-12-08 11:53:40.730,1002,,372.06726,0.0,160.0,30001,,369.69135,173.0,2020-12-08 12:44:20.315,2020-12-08 12:27:36.095,,2.84,158.34001,87.0,5362,5352.056,,404.017,167.769,6.806,47.4,UTC+0200,RHeBeWmk3Z,,,f7fa8162-72a7-23f3-cbe5-db60e2b8f743.com.samsung.health.exercise.live_data.json,,2.6341062,com.sec.android.app.shealth,,,,2020-12-08 12:27:34.570,f7fa8162-72a7-23f3-cbe5-db60e2b8f743,
,0,,65.0,0,,,,4,0,,,0,11,0.0,,,,,772772,,,eab03714-cdb8-526e-66af-8716a1f8750b.com.samsung.health.exercise.location_data.json,2020-12-18 13:42:19.291,1001,,,,102.0,30001,,,115.0,2020-12-18 13:56:13.401,2020-12-18 13:56:13.401,,1.4748986,,90.0,1222,917.214,,65.0,,,,UTC+0200,RHeBeWmk3Z,,,eab03714-cdb8-526e-66af-8716a1f8750b.com.samsung.health.exercise.live_data.json,,1.3453187,com.sec.android.app.shealth,,,,2020-12-18 13:55:12.063,eab03714-cdb8-526e-66af-8716a1f8750b,
,0,,51.0,0,,,,4,0,,,0,1,0.0,,,,,629113,,,35b48422-e939-69cf-3a17-ce6ff9ba03a8.com.samsung.health.exercise.location_data.json,2021-01-09 12:46:12.387,1001,,,,103.0,30001,,,103.0,2021-01-09 12:57:46.274,2021-01-09 12:57:46.274,,1.7978399,,103.0,1174,912.0181,,51.0,,,,UTC+0200,RHeBeWmk3Z,,,35b48422-e939-69cf-3a17-ce6ff9ba03a8.com.samsung.health.exercise.live_data.json,,1.5398922,com.sec.android.app.shealth,,,,2021-01-09 12:56:41.500,35b48422-e939-69cf-3a17-ce6ff9ba03a8,
,0,,82.0,0,,,,4,0,,,0,,0.0,,,,,1364970,,,1221a9bc-c651-bd8e-ad78-0b822d71d99f.com.samsung.health.exercise.location_data.json,2020-12-13 14:53:56.592,1001,,,,,30001,,,,2020-12-13 15:17:41.445,2020-12-13 15:17:41.445,,1.506235,,,1978,1422.97,,82.0,,,,UTC+0200,RHeBeWmk3Z,,,1221a9bc-c651-bd8e-ad78-0b822d71d99f.com.samsung.health.exercise.live_data.json,,1.2445503,com.sec.android.app.shealth,,,,2020-12-13 15:16:41.562,1221a9bc-c651-bd8e-ad78-0b822d71d99f,
,0,,62.0,0,,,,4,0,,,0,9,0.0,,,,,1079080,,,09df4f5e-d87b-c977-cd2c-132bf7d1b708.com.samsung.health.exercise.location_data.json,2021-02-16 13:58:55.920,1001,,,,81.0,30001,,,90.0,2021-02-16 14:17:55.693,2021-02-16 14:17:55.693,,1.3888888,,74.0,1446,1072.211,,62.0,,,,UTC+0200,RHeBeWmk3Z,,,09df4f5e-d87b-c977-cd2c-132bf7d1b708.com.samsung.health.exercise.live_data.json,,1.2372949,com.sec.android.app.shealth,,,,2021-02-16 14:16:55.000,09df4f5e-d87b-c977-cd2c-132bf7d1b708,
,0,,165.0,0,,,,4,0,,,0,,0.0,,,,,2909157,,,,2020-11-13 16:47:35.884,1001,,,,,30001,,,,2020-11-13 17:37:05.493,2020-11-13 17:37:05.493,,1.8055556,,,4603,3413.069,,165.0,,,,UTC+0300,RHeBeWmk3Z,,,ecd54f34-a1a0-45aa-3c62-4671b1891f10.com.samsung.health.exercise.live_data.json,,1.299298,com.sec.android.app.shealth,,,,2020-11-13 17:36:05.041,ecd54f34-a1a0-45aa-3c62-4671b1891f10,
856f43a0-46bc-cafd-96df-8e8767c633d4.live_data_internal.json,0,,326.7843,0,,,856f43a0-46bc-cafd-96df-8e8767c633d4.sensing_status.json,1,0,,,1,1538,0.0,,,856f43a0-46bc-cafd-96df-8e8767c633d4.location_data_internal.json,856f43a0-46bc-cafd-96df-8e8767c633d4.additional_internal.json,1841740,,,856f43a0-46bc-cafd-96df-8e8767c633d4.com.samsung.health.exercise.location_data.json,2021-02-24 11:14:34.850,1002,,373.69498,22.296,147.0,30001,,368.16156,167.0,2021-02-24 23:03:49.496,2021-02-24 11:45:20.341,,3.118,158.25108,96.0,4857,5285.926,,326.734,167.783,12.771,48.891,UTC+0200,RHeBeWmk3Z,,,856f43a0-46bc-cafd-96df-8e8767c633d4.com.samsung.health.exercise.live_data.json,,2.870072,com.sec.android.app.shealth,,,,2021-02-24 11:45:19.130,856f43a0-46bc-cafd-96df-8e8767c633d4,
607b9fac-5f91-0b52-3af2-e4fa2d79e155.live_data_internal.json,0,,324.67215,0,,,607b9fac-5f91-0b52-3af2-e4fa2d79e155.sensing_status.json,1,0,,,1,339,0.0,,,607b9fac-5f91-0b52-3af2-e4fa2d79e155.location_data_internal.json,607b9fac-5f91-0b52-3af2-e4fa2d79e155.additional_internal.json,1765120,,,607b9fac-5f91-0b52-3af2-e4fa2d79e155.com.samsung.health.exercise.location_data.json,2021-01-25 11:59:33.710,1002,,372.47662,49.766,157.0,30001,,367.18152,171.0,2021-01-25 15:59:20.611,2021-01-25 12:29:35.306,,3.171,154.59572,135.0,4548,5173.717,,323.979,164.45,100.517,48.27,UTC+0200,RHeBeWmk3Z,,,607b9fac-5f91-0b52-3af2-e4fa2d79e155.com.samsung.health.exercise.live_data.json,,2.931085,com.sec.android.app.shealth,,,,2021-01-25 12:29:33.980,607b9fac-5f91-0b52-3af2-e4fa2d79e155,
